item_code,week_index,week_start,demand_qty
PANEL-01,0,2023-01-02,307
PANEL-01,1,2023-01-09,303
PANEL-01,2,2023-01-16,299
PANEL-01,3,2023-01-23,324
PANEL-01,4,2023-01-30,324
PANEL-01,5,2023-02-06,302
PANEL-01,6,2023-02-13,322
PANEL-01,7,2023-02-20,294
PANEL-01,8,2023-02-27,300
PANEL-01,9,2023-03-06,290
PANEL-01,10,2023-03-13,312
PANEL-01,11,2023-03-20,229
PANEL-01,12,2023-03-27,280
PANEL-01,13,2023-04-03,254
PANEL-01,14,2023-04-10,204
PANEL-01,15,2023-04-17,227
PANEL-01,16,2023-04-24,215
PANEL-01,17,2023-05-01,210
PANEL-01,18,2023-05-08,231
PANEL-01,19,2023-05-15,179
PANEL-01,20,2023-05-22,227
PANEL-01,21,2023-05-29,163
PANEL-01,22,2023-06-05,162
PANEL-01,23,2023-06-12,168
PANEL-01,24,2023-06-19,159
PANEL-01,25,2023-06-26,163
PANEL-01,26,2023-07-03,142
PANEL-01,27,2023-07-10,137
PANEL-01,28,2023-07-17,137
PANEL-01,29,2023-07-24,150
PANEL-01,30,2023-07-31,152
PANEL-01,31,2023-08-07,
PANEL-01,32,2023-08-14,156
PANEL-01,33,2023-08-21,160
PANEL-01,34,2023-08-28,174
PANEL-01,35,2023-09-04,177
PANEL-01,36,2023-09-11,184
PANEL-01,37,2023-09-18,173
PANEL-01,38,2023-09-25,214
PANEL-01,39,2023-10-02,199
PANEL-01,40,2023-10-09,229
PANEL-01,41,2023-10-16,224
PANEL-01,42,2023-10-23,233
PANEL-01,43,2023-10-30,293
PANEL-01,44,2023-11-06,262
PANEL-01,45,2023-11-13,290
PANEL-01,46,2023-11-20,230
PANEL-01,47,2023-11-27,286
PANEL-01,48,2023-12-04,316
PANEL-01,49,2023-12-11,339
PANEL-01,50,2023-12-18,300
PANEL-01,51,2023-12-25,293
PANEL-01,52,2024-01-01,332
PANEL-01,53,2024-01-08,350
PANEL-01,54,2024-01-15,297
PANEL-01,55,2024-01-22,296
PANEL-01,56,2024-01-29,298
PANEL-01,57,2024-02-05,364
PANEL-01,58,2024-02-12,314
PANEL-01,59,2024-02-19,308
PANEL-01,60,2024-02-26,330
PANEL-01,61,2024-03-04,320
PANEL-01,62,2024-03-11,298
PANEL-01,63,2024-03-18,297
PANEL-01,64,2024-03-25,275
PANEL-01,65,2024-04-01,272
PANEL-01,66,2024-04-08,259
PANEL-01,67,2024-04-15,223
PANEL-01,68,2024-04-22,212
PANEL-01,69,2024-04-29,238
PANEL-01,70,2024-05-06,251
PANEL-01,71,2024-05-13,206
PANEL-01,72,2024-05-20,180
PANEL-01,73,2024-05-27,230
PANEL-01,74,2024-06-03,168
PANEL-01,75,2024-06-10,206
PANEL-01,76,2024-06-17,186
PANEL-01,77,2024-06-24,166
PANEL-01,78,2024-07-01,157
PANEL-01,79,2024-07-08,170
PANEL-01,80,2024-07-15,176
PANEL-01,81,2024-07-22,161
PANEL-01,82,2024-07-29,175
PANEL-01,83,2024-08-05,186
PANEL-01,84,2024-08-12,167
PANEL-01,85,2024-08-19,
PANEL-01,86,2024-08-26,163
PANEL-01,87,2024-09-02,168
PANEL-01,88,2024-09-09,170
PANEL-01,89,2024-09-16,230
PANEL-01,90,2024-09-23,221
PANEL-01,91,2024-09-30,233
PANEL-01,92,2024-10-07,240
PANEL-01,93,2024-10-14,255
PANEL-01,94,2024-10-21,259
PANEL-01,95,2024-10-28,283
PANEL-01,96,2024-11-04,311
PANEL-01,97,2024-11-11,258
PANEL-01,98,2024-11-18,295
PANEL-01,99,2024-11-25,298
PANEL-01,100,2024-12-02,276
PANEL-01,101,2024-12-09,294
PANEL-01,102,2024-12-16,356
PANEL-01,103,2024-12-23,307
PANEL-01,104,2024-12-30,354
PANEL-01,105,2025-01-06,315
PANEL-01,106,2025-01-13,330
PANEL-01,107,2025-01-20,332
PANEL-01,108,2025-01-27,319
PANEL-01,109,2025-02-03,371
PANEL-01,110,2025-02-10,349
PANEL-01,111,2025-02-17,310
PANEL-01,112,2025-02-24,344
PANEL-01,113,2025-03-03,341
PANEL-01,114,2025-03-10,325
PANEL-01,115,2025-03-17,267
PANEL-01,116,2025-03-24,274
