work_order_no,item_code,material_readiness,days_until_due,max_lead_time_days,progress_ratio,item_overdue_rate,weekly_load_ratio,bom_component_count,was_delayed
WOH-00001,TV-200,1,13,0,0.2052,0.12,1.0502,8,0
WOH-00002,TV-300,0.837,0,2,0.5769,0.25,0.9524,4,0
WOH-00003,TV-200,1,10,0,0.0658,0.12,1.2185,2,0
WOH-00004,MON-200,0.6296,1,10,0.3716,0.31,1.3074,3,1
WOH-00005,TV-100,0.9082,21,6,0.4502,0.18,0.9504,6,0
WOH-00006,MON-200,1,22,0,0.0218,0.31,,6,0
WOH-00007,TV-300,0.5849,3,12,0.0493,0.25,13.1089,5,0
WOH-00008,MON-200,0.8773,15,5,0.8825,0.31,1.029,3,0
WOH-00009,TV-200,0.9302,1,13,0.0041,0.12,0.893,8,1
WOH-00010,MON-100,0.4142,24,5,0.0645,0.42,1.0539,5,0
WOH-00011,MON-100,0.4222,-6,12,0.654,0.42,0.8134,7,1
WOH-00012,MON-200,0.054,16,4,0.4044,0.31,0.5017,3,1
WOH-00013,TV-200,0.0249,14,10,0.9085,0.12,0.8476,2,0
WOH-00014,MON-200,0.1544,4,13,0.19,0.31,,7,1
WOH-00015,TV-100,0.8947,4,7,0.2628,0.18,0.9757,4,0
WOH-00016,MON-100,0.7092,-3,3,0.8788,0.42,0.8239,7,0
WOH-00017,MON-200,,2,4,0.0581,0.31,1.3965,3,0
WOH-00018,TV-200,1,20,0,0.3776,0.12,1.444,2,0
WOH-00019,MON-200,0.082,-1,14,0.9854,0.31,1.4936,4,1
WOH-00020,MON-100,0.1737,-2,12,0.3101,0.42,1.0973,6,1
WOH-00021,TV-300,0.5194,7,13,0.1354,0.25,,3,0
WOH-00022,TV-100,1,20,0,0.2868,0.18,1.4814,8,0
WOH-00023,MON-200,0.2606,16,5,0.6568,0.31,0.8067,3,0
WOH-00024,TV-300,0.6137,8,9,0.6316,0.25,0.5815,4,0
WOH-00025,TV-300,0.5182,1,12,0.9492,0.25,0.9201,4,1
WOH-00026,TV-100,0.9715,4,14,0.8085,0.18,1.0639,7,0
WOH-00027,TV-200,0.4988,12,8,0.7297,0.12,1.1199,2,0
WOH-00028,TV-100,0.4349,24,11,0.9316,0.18,1.2363,2,0
WOH-00029,MON-100,0.4998,15,4,0.8433,0.42,0.9925,7,0
WOH-00030,MON-100,0.993,6,14,0.1217,0.42,1.238,2,1
WOH-00031,TV-200,0.1424,17,10,0.2194,0.12,0.5847,5,0
WOH-00032,TV-300,,15,0,0.6341,0.25,1.4807,7,0
WOH-00033,TV-100,0.3152,-2,10,0.6416,0.18,0.6111,8,1
WOH-00034,MON-100,0.7847,-2,7,0.5015,0.42,0.5689,3,1
WOH-00035,MON-200,1,9,0,0.5963,0.31,1.3469,5,0
WOH-00036,MON-200,0.1031,6,12,0.0955,0.31,0.6453,5,1
WOH-00037,TV-300,0.8614,3,3,0.4568,0.25,,8,0
WOH-00038,TV-200,0.7793,12,6,0.5284,0.12,0.6315,2,0
WOH-00039,MON-200,,2,2,0.3443,0.31,0.966,8,1
WOH-00040,TV-300,,5,14,0.5651,0.25,0.6264,3,0
WOH-00041,TV-200,0.9448,24,2,0.8025,0.12,1.3104,6,0
WOH-00042,TV-100,,13,9,0.0387,0.18,1.4897,5,0
WOH-00043,MON-100,0.0393,3,7,0.3473,0.42,0.7904,6,1
WOH-00044,TV-200,1,8,0,0.7555,0.12,0.8731,5,0
WOH-00045,MON-100,0.5552,13,10,0.275,0.42,1.0412,5,0
WOH-00046,MON-100,0.5131,1,3,0.7027,0.42,0.8698,6,0
WOH-00047,TV-100,0.4921,18,3,0.1752,0.18,1.0074,5,0
WOH-00048,MON-100,0.6689,4,12,0.5672,0.42,1.2948,2,1
WOH-00049,TV-100,0.4861,21,9,0.8098,0.18,0.9826,7,0
WOH-00050,MON-100,0.5507,1,14,0.7868,0.42,0.9139,8,1
WOH-00051,TV-300,1,4,0,0.3279,0.25,0.5931,8,0
WOH-00052,MON-100,,-6,11,0.9661,0.42,1.0419,8,1
WOH-00053,TV-100,,-2,6,0.1133,0.18,1.3072,3,1
WOH-00054,TV-300,0.1168,6,8,0.4286,0.25,1.4084,2,1
WOH-00055,MON-100,0.7185,22,2,0.0179,0.42,1.2566,2,1
WOH-00056,TV-300,0.6522,10,12,0.5511,0.25,0.6324,2,0
WOH-00057,TV-100,0.4925,-2,7,0.0095,0.18,0.9117,8,1
